#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:07:15.813
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.0002775694444444445,-0.4881435192536275,-0.4253288000621747
-0.0002763194444444445,-0.4901580984267224,-0.4256637664694125
-0.0002750694444444445,-0.489150808840175,-0.4246588672476991
-0.0002738194444444445,-0.4908296248177541,-0.4270036320983638
-0.0002725694444444445,-0.4894865720356908,-0.426668665691126
-0.0002713194444444445,-0.4915011512087857,-0.4283434977273151
-0.0002700694444444445,-0.4931799671863648,-0.4276735649128394
-0.0002688194444444445,-0.4931799671863648,-0.4270036320983638
-0.0002675694444444445,-0.4928442039908489,-0.4276735649128394
-0.0002663194444444445,-0.4941872567729122,-0.4270036320983638
-0.0002650694444444445,-0.4951945463594596,-0.4283434977273151
-0.0002638194444444445,-0.494523019968428,-0.4286784641345529
-0.0002625694444444444,-0.4968733623370387,-0.4290134305417907
-0.0002613194444444444,-0.4948587831639438,-0.4286784641345529
-0.0002600694444444444,-0.494523019968428,-0.4276735649128394
-0.0002588194444444444,-0.4951945463594596,-0.4286784641345529
-0.0002575694444444444,-0.4965375991415229,-0.4290134305417907
-0.0002563194444444445,-0.4968733623370387,-0.4280085313200773
-0.0002550694444444445,-0.4962018359460071,-0.4270036320983638
-0.0002538194444444445,-0.4968733623370387,-0.4283434977273151
-0.0002525694444444445,-0.4968733623370387,-0.4286784641345529
-0.0002513194444444445,-0.4951945463594596,-0.426668665691126
-0.0002500694444444445,-0.4968733623370387,-0.4276735649128394
-0.0002488194444444445,-0.4951945463594596,-0.4263336992838881
-0.0002475694444444445,-0.4955303095549755,-0.4259987328766504
-0.0002463194444444445,-0.4955303095549755,-0.4273385985056016
-0.0002450694444444445,-0.4962018359460071,-0.426668665691126
-0.0002438194444444444,-0.4962018359460071,-0.4256637664694125
-0.0002425694444444444,-0.4968733623370387,-0.4263336992838881
-0.0002413194444444444,-0.4962018359460071,-0.4256637664694125
-0.0002400694444444444,-0.4965375991415229,-0.4246588672476991
-0.0002388194444444444,-0.4951945463594596,-0.4256637664694125
-0.0002375694444444444,-0.4941872567729122,-0.42298403521151
-0.0002363194444444444,-0.4955303095549755,-0.4239889344332234
-0.0002350694444444444,-0.4938514935773964,-0.4236539680259856
-0.0002338194444444444,-0.4941872567729122,-0.42298403521151
-0.0002325694444444444,-0.4938514935773964,-0.4219791359897966
-0.0002313194444444444,-0.4931799671863648,-0.4219791359897966
-0.0002300694444444444,-0.4921726775998173,-0.4213092031753209
-0.0002288194444444444,-0.4918369144043015,-0.4203043039536075
-0.0002275694444444444,-0.4915011512087857,-0.4189644383246562
-0.0002263194444444444,-0.4915011512087857,-0.4186294719174184
-0.0002250694444444444,-0.4921726775998173,-0.4196343711391318
-0.0002238194444444444,-0.4901580984267224,-0.417624572695705
-0.0002225694444444444,-0.4898223352312066,-0.4169546398812293
-0.0002213194444444444,-0.4881435192536275,-0.4166196734739915
-0.0002200694444444444,-0.4868004664715643,-0.4149448414378024
-0.0002188194444444444,-0.4871362296670801,-0.4149448414378024
-0.0002175694444444444,-0.4864647032760485,-0.4142749086233268
-0.0002163194444444444,-0.4861289400805326,-0.4132700094016133
-0.0002150694444444444,-0.4851216504939852,-0.4119301437726621
-0.0002138194444444444,-0.4844501241029536,-0.4112602109581864
-0.0002125694444444444,-0.4831070713208903,-0.4095853789219974
-0.0002113194444444444,-0.4817640185388271,-0.4095853789219974
-0.0002100694444444444,-0.4817640185388271,-0.4082455132930461
-0.0002088194444444444,-0.4804209657567638,-0.4082455132930461
-0.0002075694444444444,-0.478406386583669,-0.4059007484423814
-0.0002063194444444444,-0.4777348601926373,-0.4055657820351436
-0.0002050694444444444,-0.4773990969971215,-0.4038909499989545
-0.0002038194444444444,-0.4757202810195424,-0.4018811515555276
-0.0002025694444444444,-0.4750487546285108,-0.401211218741052
