#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:14:52.438
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.0003177777777777778,-0.4515453309424038,-0.4002063195193385
-0.0003165277777777778,-0.4522168573334355,-0.4015461851482898
-0.0003152777777777778,-0.4538956733110145,-0.4025510843700033
-0.0003140277777777778,-0.454902962897562,-0.4035559835917167
-0.0003127777777777778,-0.4572533052661727,-0.4038909499989545
-0.0003115277777777778,-0.4579248316572043,-0.4059007484423814
-0.0003102777777777778,-0.460275174025815,-0.4062357148496192
-0.0003090277777777778,-0.4616182268078783,-0.4079105468858083
-0.0003077777777777777,-0.4629612795899415,-0.4089154461075217
-0.0003065277777777777,-0.4639685691764889,-0.4095853789219974
-0.0003052777777777777,-0.4673262011316471,-0.4119301437726621
-0.0003040277777777777,-0.4666546747406154,-0.4119301437726621
-0.0003027777777777777,-0.4673262011316471,-0.4119301437726621
-0.0003015277777777777,-0.4700123066957736,-0.4129350429943755
-0.0003002777777777777,-0.4706838330868052,-0.4136049758088511
-0.0002990277777777777,-0.4730341754554159,-0.4156147742522781
-0.0002977777777777778,-0.4737057018464476,-0.4162847070667537
-0.0002965277777777778,-0.4740414650419634,-0.4172896062884671
-0.0002952777777777778,-0.4763918074105741,-0.4179595391029428
